0                       //load
2                       //rotate right
1                       //rotate left
1                       //rotate left
2                       //rotate right
0                       //load
3                       //zoom in
3                       //zoom in
4                       //zoom fit
4                       //zoom fit
0                       //load
2                       //rotate right
3                       //zoom in
3                       //zoom in
4                       //zoom fit
4                       //zoom fit
1                       //rotate left
1                       //rotate left
3                       //zoom in
3                       //zoom in
4                       //zoom fit
4                       //zoom fit
0                       //load
4                       //zoom fit
7                       //shift up
8                       //shift down
8                       //shift down
6                       //shift left
5                       //shift right
5                       //shift right
3                       //zoom in
5                       //shift right
8                       //shift down
5                       //shift right
8                       //shift down
8                       //shift down
5                       //shift right
5                       //shift right
5                       //shift right
4                       //zoom fit
3                       //zoom in
6                       //shift left
6                       //shift left
6                       //shift left
6                       //shift left
6                       //shift left
7                       //shift up
7                       //shift up
7                       //shift up
7                       //shift up
7                       //shift up
4                       //zoom fit
1                       //rotate left
7                       //shift up
8                       //shift down
6                       //shift left
5                       //shift right
3                       //zoom in
5                       //shift right
5                       //shift right
5                       //shift right
7                       //shift up
7                       //shift up
7                       //shift up
5                       //shift right
7                       //shift up
7                       //shift up
6                       //shift left
6                       //shift left
6                       //shift left
6                       //shift left
6                       //shift left
7                       //shift up
6                       //shift left
6                       //shift left
8                       //shift down
4                       //zoom fit
2                       //rotate right
2                       //rotate right
7                       //shift up
8                       //shift down
6                       //shift left
5                       //shift right
3                       //zoom in
6                       //shift left
6                       //shift left
6                       //shift left
8                       //shift down
8                       //shift down
8                       //shift down
8                       //shift down
8                       //shift down
5                       //shift right
8                       //shift down
5                       //shift right
8                       //shift down
7                       //shift up
7                       //shift up
5                       //shift right
7                       //shift up
7                       //shift up
5                       //shift right
5                       //shift right
7                       //shift up
5                       //shift right
7                       //shift up
5                       //shift right
7                       //shift up
7                       //shift up
7                       //shift up
7                       //shift up
7                       //shift up
6                       //shift left
6                       //shift left 
7                       //shift up 
6                       //shift left
6                       //shift left
6                       //shift left
6                       //shift left
6                       //shift left
7                       //shift up
4                       //zoom fit
0                       //load
1                       //rotate left
0                       //load
2                       //rotate right
0                       //load
4                       //zoom fit
0                       //load
0                       //load
