1             //load
3             //zoom out
1             //load
6             //shift up
7             //shift down
5             //shift left
4             //shift right
2             //zoom in
2             //zoom in
5             //shift left
7             //shift down
7             //shift down
5             //shift left
5             //shift left
0             //refresh
3             //zoom out
1             //load
2             //zoom in
4             //shift right
4             //shift right
6             //shift up
6             //shift up
4             //shift right
6             //shift up
7             //shift down
7             //shift down
7             //shift down
7             //shift down
7             //shift down
4             //shift right
4             //shift right
3             //zoom out
3             //zoom out
2             //zoom in
6             //shift up
6             //shift up
6             //shift up
6             //shift up
5             //shift left
4             //shift right
5             //shift left
5             //shift left
5             //shift left
3             //zoom out
0             //refresh
